ObservationDate,ReplicateSite,PredatorType,CardType
23/04/2023,B6,Mouse,Chew
23/04/2023,B6,Mouse,Tunnel
23/04/2023,B2,Mouse,Tunnel
23/04/2023,B1,Mouse,Tunnel
23/04/2023,B4,Mouse,Chew
23/04/2023,B4,Mouse,Tunnel
23/04/2023,B2,Rat,Tunnel
23/04/2023,B2,Mouse,Chew
23/04/2023,B5,Mouse,Chew
23/04/2023,B5,Rat,Chew
23/04/2023,B5,Mouse,Tunnel
23/04/2023,B3,Mouse,Chew
23/04/2023,B3,Mouse,Tunnel
23/04/2023,G6,Mouse,Chew
23/04/2023,G6,Mouse,Tunnel
23/04/2023,G2,Mouse,Tunnel
23/04/2023,G2,Hedgehog,Chew
23/04/2023,G1,Mouse,Tunnel
23/04/2023,G4,Rat,Chew
23/04/2023,G4,Mouse,Chew
23/04/2023,G4,Mouse,Tunnel
