LakeName,Year,Month ,ChlA
Lake Ellesmere,2004,1,66.9
Lake Ellesmere,2004,2,79.9
Lake Ellesmere,2004,3,95
Lake Ellesmere,2004,4,82.4
Lake Ellesmere,2004,5,59.6
Lake Ellesmere,2004,6,69
Lake Ellesmere,2004,7,62.1
Lake Ellesmere,2004,8,96.3
Lake Ellesmere,2004,9,135
Lake Ellesmere,2004,10,102
Lake Ellesmere,2004,11,116.4
Lake Ellesmere,2004,12,47.1
Lake Ellesmere,2005,1,30.2
Lake Ellesmere,2005,2,70.9
Lake Ellesmere,2005,3,91.9
Lake Ellesmere,2005,4,35.1
Lake Ellesmere,2005,5,92.8
Lake Ellesmere,2005,6,124.7
Lake Ellesmere,2005,7,63.3
Lake Ellesmere,2005,8,87.5
Lake Ellesmere,2005,9,37.3
Lake Ellesmere,2005,10,40.7
Lake Ellesmere,2005,11,65.5
Lake Ellesmere,2005,12,53.6
Lake Ellesmere,2006,1,66.6
Lake Ellesmere,2006,2,51
Lake Ellesmere,2006,3,44.9
Lake Ellesmere,2006,4,92.4
Lake Ellesmere,2006,5,57.3
Lake Ellesmere,2006,6,81.8
Lake Ellesmere,2006,7,95.6
Lake Ellesmere,2006,8,116.6
Lake Ellesmere,2006,9,208
Lake Ellesmere,2006,10,185.3
Lake Ellesmere,2006,11,154.5
Lake Ellesmere,2006,12,176.1
Lake Ellesmere,2007,1,186.9
Lake Ellesmere,2007,2,76.5
Lake Ellesmere,2007,3,75.7
Lake Ellesmere,2007,4,57.3
Lake Ellesmere,2007,5,84.2
Lake Ellesmere,2007,6,61
Lake Ellesmere,2007,7,87.1
Lake Ellesmere,2007,8,83.6
Lake Ellesmere,2007,9,71.2
Lake Ellesmere,2007,10,123.2
Lake Ellesmere,2007,11,119.2
Lake Ellesmere,2007,12,59.6
Lake Ellesmere,2008,1,81.3
Lake Ellesmere,2008,2,98.85
Lake Ellesmere,2008,3,116.4
Lake Ellesmere,2008,4,115.3
Lake Ellesmere,2008,5,59.8
Lake Ellesmere,2008,6,111.8
Lake Ellesmere,2008,7,93.4
Lake Ellesmere,2008,8,131.9
Lake Ellesmere,2008,9,133.5
Lake Ellesmere,2008,10,161.5
Lake Ellesmere,2008,11,145.3
Lake Ellesmere,2008,12,75.9
Lake Ellesmere,2009,1,521.3
Lake Ellesmere,2009,2,119.6
Lake Ellesmere,2009,3,158.8
Lake Ellesmere,2009,4,170
Lake Ellesmere,2009,5,187.1
Lake Ellesmere,2009,6,215.5
Lake Ellesmere,2009,7,72.6
Lake Ellesmere,2009,8,71.6
Lake Ellesmere,2009,9,235.8
Lake Ellesmere,2009,10,163.5
Lake Ellesmere,2009,11,94.8
Lake Ellesmere,2009,12,96.5
Lake Ellesmere,2010,1,28
Lake Ellesmere,2010,2,78.3
Lake Ellesmere,2010,3,100
Lake Ellesmere,2010,4,90.3
Lake Ellesmere,2010,5,52.1
Lake Ellesmere,2010,6,52.5
Lake Ellesmere,2010,7,22.5
Lake Ellesmere,2010,8,25.1
Lake Ellesmere,2010,9,35
Lake Ellesmere,2010,10,142
Lake Ellesmere,2010,11,61.6
Lake Ellesmere,2010,12,48.8
Lake Ellesmere,2011,1,35.1
Lake Ellesmere,2011,2,37.55
Lake Ellesmere,2011,3,40
Lake Ellesmere,2011,4,14
Lake Ellesmere,2011,5,45
Lake Ellesmere,2011,6,44
Lake Ellesmere,2011,7,72
Lake Ellesmere,2011,8,46
Lake Ellesmere,2011,9,27
Lake Ellesmere,2011,10,48
Lake Ellesmere,2011,11,44
Lake Ellesmere,2011,12,28.4
Lake Ellesmere,2012,1,5.7
Lake Ellesmere,2012,2,30.2
Lake Ellesmere,2012,3,47.2
Lake Ellesmere,2012,4,6.3
Lake Ellesmere,2012,5,25
Lake Ellesmere,2012,6,62
Lake Ellesmere,2012,7,38
Lake Ellesmere,2012,8,37.7
Lake Ellesmere,2012,9,41.1
Lake Ellesmere,2012,10,44.4
Lake Ellesmere,2012,11,45.8
Lake Ellesmere,2012,12,15
Lake Ellesmere,2013,1,16
Lake Ellesmere,2013,2,18
Lake Ellesmere,2013,3,2.4
Lake Ellesmere,2013,4,2.5
Lake Ellesmere,2013,5,1.3
Lake Ellesmere,2013,6,14.3
Lake Ellesmere,2013,7,47
Lake Ellesmere,2013,8,48
Lake Ellesmere,2013,9,77
Lake Ellesmere,2013,10,85
Lake Ellesmere,2013,11,28
Lake Ellesmere,2013,12,60
Lake Taupo,2001,1,0.5
Lake Taupo,2001,2,0.6
Lake Taupo,2001,3,0.9
Lake Taupo,2001,4,1.05
Lake Taupo,2001,5,1.4
Lake Taupo,2001,6,1.5
Lake Taupo,2001,7,2.2
Lake Taupo,2001,8,2.1
Lake Taupo,2001,9,1.3
Lake Taupo,2001,10,1.1
Lake Taupo,2001,11,1.7
Lake Taupo,2001,12,0.5
Lake Taupo,2002,1,0.8
Lake Taupo,2002,2,0.9
Lake Taupo,2002,3,1.7
Lake Taupo,2002,4,0.9
Lake Taupo,2002,5,0.85
Lake Taupo,2002,6,1.1
Lake Taupo,2002,7,1.73
Lake Taupo,2002,8,2.6
Lake Taupo,2002,9,0.9
Lake Taupo,2002,10,0.6
Lake Taupo,2002,11,0.7
Lake Taupo,2002,12,0.4
Lake Taupo,2003,1,0.7
Lake Taupo,2003,2,0.5
Lake Taupo,2003,3,1
Lake Taupo,2003,4,1.3
Lake Taupo,2003,5,1.4
Lake Taupo,2003,6,1.3
Lake Taupo,2003,7,1.9
Lake Taupo,2003,8,2.9
Lake Taupo,2003,9,1.5
Lake Taupo,2003,10,0.9
Lake Taupo,2003,11,0.8
Lake Taupo,2003,12,0.35
Lake Taupo,2004,1,0.4
Lake Taupo,2004,2,0.7
Lake Taupo,2004,3,0.9
Lake Taupo,2004,4,1.3
Lake Taupo,2004,5,1.2
Lake Taupo,2004,6,1
Lake Taupo,2004,7,2.15
Lake Taupo,2004,8,2.3
Lake Taupo,2004,9,1.4
Lake Taupo,2004,10,0.7
Lake Taupo,2004,11,0.5
Lake Taupo,2004,12,0.2
Lake Taupo,2005,1,0.25
Lake Taupo,2005,2,0.2
Lake Taupo,2005,3,0.45
Lake Taupo,2005,4,0.7
Lake Taupo,2005,5,1.3
Lake Taupo,2005,6,1.25
Lake Taupo,2005,7,2.1
Lake Taupo,2005,8,1.47
Lake Taupo,2005,9,0.8
Lake Taupo,2005,10,0.7
Lake Taupo,2005,11,0.5
Lake Taupo,2005,12,0.4
Lake Taupo,2006,1,0.5
Lake Taupo,2006,2,1.1
Lake Taupo,2006,3,0.9
Lake Taupo,2006,4,1.05
Lake Taupo,2006,5,1.1
Lake Taupo,2006,6,2
Lake Taupo,2006,7,2.25
Lake Taupo,2006,8,2.8
Lake Taupo,2006,9,0.8
Lake Taupo,2006,10,0.9
Lake Taupo,2006,11,0.8
Lake Taupo,2006,12,0.7
Lake Taupo,2007,1,0.3
Lake Taupo,2007,2,0.35
Lake Taupo,2007,3,0.8
Lake Taupo,2007,4,0.65
Lake Taupo,2007,5,1
Lake Taupo,2007,6,1.1
Lake Taupo,2007,7,1.7
Lake Taupo,2007,8,1.75
Lake Taupo,2007,9,1.4
Lake Taupo,2007,10,0.75
Lake Taupo,2007,11,0.5
Lake Taupo,2007,12,0.45
Lake Taupo,2008,1,0.3
Lake Taupo,2008,2,0.4
Lake Taupo,2008,3,0.5
Lake Taupo,2008,4,0.8
Lake Taupo,2008,5,0.65
Lake Taupo,2008,6,1.1
Lake Taupo,2008,7,1.8
Lake Taupo,2008,8,2.25
Lake Taupo,2008,9,0.9
Lake Taupo,2008,10,0.6
Lake Taupo,2008,11,0.95
Lake Taupo,2008,12,0.6
Lake Taupo,2009,1,0.4
Lake Taupo,2009,2,0.45
Lake Taupo,2009,3,0.6
Lake Taupo,2009,4,0.8
Lake Taupo,2009,5,1.25
Lake Taupo,2009,6,1.5
Lake Taupo,2009,7,1.6
Lake Taupo,2009,8,1.9
Lake Taupo,2009,9,1.5
Lake Taupo,2009,10,0.6
Lake Taupo,2009,11,0.7
Lake Taupo,2009,12,0.7
Lake Taupo,2010,1,0.6
Lake Taupo,2010,2,0.85
Lake Taupo,2010,3,0.4
Lake Taupo,2010,4,0.8
Lake Taupo,2010,5,0.9
Lake Taupo,2010,6,1.1
Lake Taupo,2010,7,1.7
Lake Taupo,2010,8,2.15
Lake Taupo,2010,9,1.6
Lake Taupo,2010,10,0.85
Lake Taupo,2010,11,0.55
Lake Taupo,2010,12,0.4
Lake Taupo,2011,1,0.45
Lake Taupo,2011,2,0.5
Lake Taupo,2011,3,0.5225
Lake Taupo,2011,4,0.795
Lake Taupo,2011,5,0.8
Lake Taupo,2011,6,1
Lake Taupo,2011,7,1.3
Lake Taupo,2011,8,1.65
Lake Taupo,2011,9,0.995
Lake Taupo,2011,10,0.5
Lake Taupo,2011,11,0.55
Lake Taupo,2011,12,0.55
Lake Taupo,2012,1,0.45
Lake Taupo,2012,2,0.6
Lake Taupo,2012,3,0.6
Lake Taupo,2012,4,0.8
Lake Taupo,2012,5,0.9
Lake Taupo,2012,6,0.97
Lake Taupo,2012,7,1.275
Lake Taupo,2012,8,1.422
Lake Taupo,2012,9,1.05
Lake Taupo,2012,10,1.1
