ObservationDate,ReplicateSite,PredatorType,CardType
22/04/2023,R1,Mouse,Chew
22/04/2023,R1,Mouse,Tunnel
22/04/2023,R3,Mouse,Chew
22/04/2023,R3,Mouse,Tunnel
22/04/2023,R3,Rat,Chew
22/04/2023,R6,Mouse,Chew
22/04/2023,R6,Mouse,Tunnel
22/04/2023,L2,Hedgehog,Tunnel
22/04/2023,R4,Mouse,Tunnel
22/04/2023,R4,Mouse,Chew
22/04/2023,R5,Mouse,Chew
22/04/2023,R5,Mouse,Tunnel
22/04/2023,R2,Mouse,Tunnel
22/04/2023,R2,Mouse,Chew
22/04/2023,L1,Mouse,Tunnel
22/04/2023,L1,Rat,Tunnel
22/04/2023,L1,Hedgehog,Tunnel
22/04/2023,L1,Mouse,Chew
22/04/2023,L1,Rat,Chew
22/04/2023,L3,Mouse,Chew
22/04/2023,L3,Mouse,Tunnel
22/04/2023,L3,Rat,Tunnel
22/04/2023,L6,Mouse,Tunnel
22/04/2023,L6,Hedgehog,Tunnel
22/04/2023,L4,Hedgehog,Tunnel
22/04/2023,L5,Hedgehog,Tunnel
