"","Location","Occupation","Year","Injuries","OccAbbrev"
"1","  Far North district","Legislators administrators and managers","2002",225,"Leg"
"2","  Whangarei district","Legislators administrators and managers","2002",300,"Leg"
"3","  Kaipara district","Legislators administrators and managers","2002",93,"Leg"
"4","  Auckland city","Legislators administrators and managers","2002",5592,"Leg"
"5","  Thames-Coromandel district","Legislators administrators and managers","2002",159,"Leg"
"6","  Hauraki district","Legislators administrators and managers","2002",39,"Leg"
"7","  Waikato district","Legislators administrators and managers","2002",291,"Leg"
"8","  Matamata-Piako district","Legislators administrators and managers","2002",126,"Leg"
"9","  Hamilton city","Legislators administrators and managers","2002",705,"Leg"
"10","  Waipa district","Legislators administrators and managers","2002",117,"Leg"
"11","  Otorohanga district","Legislators administrators and managers","2002",54,"Leg"
"12","  South Waikato district","Legislators administrators and managers","2002",147,"Leg"
"13","  Waitomo district","Legislators administrators and managers","2002",33,"Leg"
"14","  Taupo district","Legislators administrators and managers","2002",180,"Leg"
"15","  Western Bay of Plenty district","Legislators administrators and managers","2002",48,"Leg"
"16","  Tauranga city","Legislators administrators and managers","2002",648,"Leg"
"17","  Rotorua district","Legislators administrators and managers","2002",402,"Leg"
"18","  Whakatane district","Legislators administrators and managers","2002",126,"Leg"
"19","  Kawerau district","Legislators administrators and managers","2002",15,"Leg"
"20","  Opotiki district","Legislators administrators and managers","2002",45,"Leg"
"21","  Gisborne district","Legislators administrators and managers","2002",231,"Leg"
"22","  Wairoa district","Legislators administrators and managers","2002",15,"Leg"
"23","  Hastings district","Legislators administrators and managers","2002",291,"Leg"
"24","  Napier city","Legislators administrators and managers","2002",258,"Leg"
"25","  Central Hawke's Bay district","Legislators administrators and managers","2002",39,"Leg"
"26","  New Plymouth district","Legislators administrators and managers","2002",324,"Leg"
"27","  Stratford district","Legislators administrators and managers","2002",30,"Leg"
"28","  South Taranaki district","Legislators administrators and managers","2002",66,"Leg"
"29","  Ruapehu district","Legislators administrators and managers","2002",54,"Leg"
"30","  Whanganui district","Legislators administrators and managers","2002",180,"Leg"
"31","  Rangitikei district","Legislators administrators and managers","2002",15,"Leg"
"32","  Manawatu district","Legislators administrators and managers","2002",48,"Leg"
"33","  Palmerston North city","Legislators administrators and managers","2002",354,"Leg"
"34","  Tararua district","Legislators administrators and managers","2002",33,"Leg"
"35","  Horowhenua district","Legislators administrators and managers","2002",84,"Leg"
"36","  Kapiti Coast district","Legislators administrators and managers","2002",69,"Leg"
"37","  Porirua city","Legislators administrators and managers","2002",75,"Leg"
"38","  Upper Hutt city","Legislators administrators and managers","2002",96,"Leg"
"39","  Lower Hutt city","Legislators administrators and managers","2002",207,"Leg"
"40","  Wellington city","Legislators administrators and managers","2002",828,"Leg"
"41","  Masterton district","Legislators administrators and managers","2002",108,"Leg"
"42","  Carterton district","Legislators administrators and managers","2002",36,"Leg"
"43","  South Wairarapa district","Legislators administrators and managers","2002",15,"Leg"
"44","  Tasman district","Legislators administrators and managers","2002",90,"Leg"
"45","  Nelson city","Legislators administrators and managers","2002",309,"Leg"
"46","  Marlborough district","Legislators administrators and managers","2002",234,"Leg"
"47","  Kaikoura district","Legislators administrators and managers","2002",21,"Leg"
"48","  Buller district","Legislators administrators and managers","2002",33,"Leg"
"49","  Grey district","Legislators administrators and managers","2002",36,"Leg"
"50","  Westland district","Legislators administrators and managers","2002",69,"Leg"
"51","  Hurunui district","Legislators administrators and managers","2002",54,"Leg"
"52","  Waimakariri district","Legislators administrators and managers","2002",84,"Leg"
"53","  Christchurch city","Legislators administrators and managers","2002",1566,"Leg"
"54","  Selwyn district","Legislators administrators and managers","2002",42,"Leg"
"55","  Ashburton district","Legislators administrators and managers","2002",120,"Leg"
"56","  Timaru district","Legislators administrators and managers","2002",168,"Leg"
"57","  Mackenzie district","Legislators administrators and managers","2002",12,"Leg"
"58","  Waimate district","Legislators administrators and managers","2002",18,"Leg"
"59","  Chatham Islands territory","Legislators administrators and managers","2002",3,"Leg"
"60","  Waitaki district","Legislators administrators and managers","2002",60,"Leg"
"61","  Central Otago district","Legislators administrators and managers","2002",102,"Leg"
"62","  Queenstown-Lakes district","Legislators administrators and managers","2002",180,"Leg"
"63","  Dunedin city","Legislators administrators and managers","2002",369,"Leg"
"64","  Clutha district","Legislators administrators and managers","2002",54,"Leg"
"65","  Southland district","Legislators administrators and managers","2002",126,"Leg"
"66","  Gore district","Legislators administrators and managers","2002",63,"Leg"
"67","  Invercargill city","Legislators administrators and managers","2002",186,"Leg"
"68","  Overseas","Legislators administrators and managers","2002",6,"Leg"
"69","  In the air - NZ","Legislators administrators and managers","2002",NA,"Leg"
